User ID,Movie ID,Rating
0,88,4.0
0,545,3.5
0,7,3.0
0,401,4.0
0,1230,0.5
0,60,4.0
0,169,3.5
0,195,0.5
0,910,4.0
0,1173,5.0
0,902,0.5
0,414,3.0
0,1275,4.0
0,764,3.5
0,443,3.5
0,1133,4.5
0,715,3.0
0,1022,3.0
0,1104,4.0
0,67,4.0
0,971,3.5
0,693,4.0
0,1361,4.0
0,118,4.5
0,722,4.5
0,359,4.5
0,897,4.5
0,567,4.0
0,1156,3.5
0,560,3.0
0,1229,5.0
0,143,4.5
0,954,4.0
0,1409,4.0
0,1098,0.5
0,724,2.5
0,804,3.5
0,134,4.0
0,155,5.0
0,1306,5.0
0,561,3.5
0,1265,4.5
0,1438,4.5
0,627,3.5
0,1073,4.0
0,161,4.0
0,926,3.5
0,918,3.5
0,1218,5.0
0,1238,3.0
0,662,5.0
0,1260,3.0
0,180,5.0
0,877,4.5
0,865,3.5
0,1068,3.5
0,1086,5.0
0,101,3.0
0,1182,4.0
0,1231,0.5
0,1498,3.5
0,1082,4.0
0,553,3.0
0,339,4.0
0,1052,2.0
0,1372,3.5
0,406,5.0
0,1237,3.5
0,40,0.5
0,806,4.0
0,18,2.5
0,483,3.5
0,925,4.0
0,231,4.0
0,273,2.5
0,258,4.5
0,1062,4.5
0,958,4.0
0,1289,4.0
0,283,3.0
0,1003,4.0
0,287,5.0
0,209,4.0
0,275,4.5
0,1483,4.5
0,849,2.0
0,204,3.5
0,445,4.5
0,685,4.0
0,10,2.0
0,613,3.5
0,774,0.5
0,1295,4.0
0,1015,5.0
0,772,2.0
0,114,3.0
0,706,3.5
0,763,3.5
0,73,4.0
0,1106,4.0
0,848,4.5
0,1393,4.0
0,1102,4.0
0,728,4.5
0,1101,4.0
0,850,3.0
0,844,3.5
0,769,5.0
0,149,5.0
0,805,4.0
0,498,4.5
0,1214,4.5
0,409,4.5
0,1131,0.5
0,569,4.0
0,729,4.5
0,5,1.0
0,1408,3.5
0,1378,4.5
0,1174,5.0
0,316,3.5
0,252,5.0
0,924,0.5
0,1264,3.5
0,351,4.5
0,421,4.0
0,1219,5.0
0,78,1.0
0,626,4.0
0,182,5.0
0,837,4.0
0,271,3.5
0,552,4.0
0,38,4.0
0,1075,4.0
0,1162,5.0
0,1032,5.0
0,650,5.0
0,927,4.0
0,163,4.0
0,957,5.0
0,284,5.0
0,278,4.0
0,936,4.5
0,749,5.0
0,1187,5.0
0,582,4.0
0,1400,4.5
0,1239,3.5
0,800,4.0
0,903,4.5
0,123,5.0
0,761,4.0
0,1441,5.0
0,680,4.5
0,803,4.5
0,360,2.0
0,580,4.0
0,739,4.5
0,394,0.5
0,775,0.5
0,690,4.0
0,1395,4.5
0,441,0.5
0,8,4.5
0,1405,5.0
0,1164,0.5
0,659,5.0
0,246,4.5
0,25,4.5
0,1170,4.0
0,21,4.0
0,794,3.5
0,1365,4.5
0,183,5.0
0,65,4.5
0,713,4.5
1,1442,3.0
1,545,2.5
1,401,3.5
1,60,3.0
1,195,4.0
1,902,3.5
1,994,3.0
1,37,3.0
1,232,3.5
1,773,4.0
1,1022,4.0
1,1361,2.5
1,1495,2.0
1,1147,3.5
1,1080,3.0
1,722,3.0
1,1156,3.0
1,1229,3.0
1,143,3.5
1,954,3.5
1,1409,3.5
1,1098,2.0
1,134,4.5
1,155,3.0
1,516,4.0
1,894,5.0
1,900,1.5
1,983,2.5
1,918,5.0
1,42,3.5
1,1238,4.0
1,638,3.5
1,662,3.5
1,1260,3.0
1,347,2.5
1,877,4.0
1,721,4.0
1,512,3.5
1,1271,3.5
1,33,3.5
1,76,3.0
1,826,3.0
1,89,2.5
1,483,2.5
1,1387,3.0
1,231,3.0
1,244,4.5
1,603,3.5
1,1062,3.0
1,608,3.0
1,783,3.0
1,144,4.0
1,1003,3.0
1,632,5.0
1,849,4.0
1,204,2.5
1,685,4.0
1,774,4.0
1,1136,4.0
1,808,3.0
1,1391,2.5
1,728,2.5
1,850,3.5
1,14,4.0
1,281,4.0
1,149,3.0
1,1207,3.5
1,502,4.0
1,888,3.5
1,270,5.0
1,59,3.0
1,409,3.0
1,729,2.5
1,316,2.5
1,947,4.5
1,182,2.5
1,1413,2.5
1,271,4.0
1,620,2.0
1,1181,3.5
1,1059,4.0
1,650,3.0
1,956,4.0
1,1212,3.5
1,665,3.5
1,874,4.5
1,600,3.0
1,1001,4.5
1,858,2.0
1,291,4.0
1,1239,3.5
1,254,4.0
1,903,3.5
1,30,4.0
1,719,3.5
1,450,2.5
1,198,5.0
1,1031,5.0
1,1422,5.0
1,1026,2.5
1,760,4.5
2,169,2.5
2,195,2.0
2,297,2.0
2,910,2.0
2,1173,4.0
2,902,1.0
2,994,0.5
2,414,3.5
2,1275,2.5
2,764,1.5
2,435,3.0
2,37,2.5
2,1125,3.0
2,1133,3.5
2,715,1.5
2,1022,1.0
2,1104,3.0
2,67,3.0
2,974,2.5
2,1057,3.0
2,694,3.0
2,1361,2.5
2,1495,2.0
2,118,3.5
2,469,2.0
2,722,3.5
2,1339,3.0
2,359,3.0
2,897,4.0
2,964,2.0
2,560,3.0
2,156,2.0
2,1229,4.0
2,954,4.0
2,63,0.5
2,946,2.5
2,1409,2.0
2,1098,2.0
2,804,4.5
2,155,2.5
2,894,2.5
2,1051,2.0
2,1438,3.0
2,1348,3.0
2,627,4.5
2,1073,2.5
2,1172,2.0
2,161,3.0
2,983,3.0
2,1096,3.0
2,1330,1.0
2,692,1.0
2,1218,2.5
2,1238,3.0
2,662,3.5
2,180,4.0
2,1130,0.5
2,785,5.0
2,877,2.0
2,865,3.0
2,1068,3.0
2,388,3.0
2,101,3.5
2,1182,3.0
2,1498,3.0
2,962,2.0
2,1371,3.0
2,1065,2.0
2,1082,2.5
2,625,3.0
2,553,3.5
2,352,3.0
2,339,2.5
2,806,4.0
2,18,2.0
2,925,3.5
2,231,2.0
2,1004,1.5
2,1062,3.0
2,1158,2.5
2,307,1.5
